---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 5-3  2.779e+02  [-43 6.401e-03 1.022e-02 6.632e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-4  2.843e+02  [-46 4.581e-03 7.312e-03 8.580e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-5  2.906e+02  [-47 4.306e-03 6.873e-03 8.526e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-6  2.973e+02  [-47 3.999e-03 6.383e-03 8.591e-01]  !510 0 80!  WARNING: The linear system solution has not converged
 NS 5-7  3.036e+02  [-48 3.758e-03 5.998e-03 8.552e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-8  3.101e+02  [-49 3.538e-03 5.648e-03 8.525e-01]  !510 0 80!  WARNING: The linear system solution has not converged
 NS 5-9  3.167e+02  [-49 3.318e-03 5.297e-03 8.584e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-10  3.231e+02  [-50 3.094e-03 4.938e-03 8.745e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-1  3.295e+02  [0 1.000e+00 1.469e+00 3.543e-03]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-2  3.359e+02  [-27 4.445e-02 6.527e-02 7.957e-02]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-3  3.423e+02  [-42 7.331e-03 1.077e-02 4.764e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-4  3.487e+02  [-48 3.648e-03 5.357e-03 9.457e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-5  3.551e+02  [-49 3.500e-03 5.139e-03 9.733e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-6  3.615e+02  [-49 3.459e-03 5.080e-03 9.710e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-7  3.680e+02  [-49 3.424e-03 5.028e-03 9.665e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-8  3.744e+02  [-49 3.378e-03 4.961e-03 9.650e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-9  3.808e+02  [-49 3.325e-03 4.883e-03 9.667e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-10  3.873e+02  [-49 3.272e-03 4.805e-03 9.694e-01]  !510 0 79!  WARNING: The linear system solution has not converged
