---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 5-3  2.756e+02  [-42 7.251e-03 1.250e-02 9.513e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-4  2.820e+02  [-43 6.995e-03 1.206e-02 9.498e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-5  2.885e+02  [-43 6.742e-03 1.163e-02 9.482e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-6  2.951e+02  [-43 6.483e-03 1.118e-02 9.494e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-7  3.015e+02  [-44 6.234e-03 1.075e-02 9.504e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 5-8  3.079e+02  [-44 5.997e-03 1.034e-02 9.505e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-9  3.144e+02  [-44 5.769e-03 9.948e-03 9.509e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 5-10  3.208e+02  [-45 5.551e-03 9.572e-03 9.510e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-1  3.272e+02  [0 1.000e+00 4.426e+00 9.589e-04]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-2  3.335e+02  [-44 5.844e-03 2.586e-02 1.486e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-3  3.400e+02  [-60 9.332e-04 4.130e-03 8.461e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-4  3.463e+02  [-61 8.347e-04 3.694e-03 8.658e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-5  3.527e+02  [-62 7.601e-04 3.364e-03 8.749e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-6  3.590e+02  [-63 6.972e-04 3.086e-03 8.810e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-7  3.654e+02  [-63 6.422e-04 2.842e-03 8.985e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-8  3.718e+02  [-64 5.921e-04 2.620e-03 9.294e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 6-9  3.781e+02  [-65 5.590e-04 2.474e-03 9.375e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 6-10  3.844e+02  [-65 5.327e-04 2.358e-03 9.358e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-1  3.907e+02  [0 1.000e+00 5.954e+00 1.017e-03]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-2  3.970e+02  [-46 4.726e-03 2.814e-02 2.048e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-3  4.034e+02  [-60 9.818e-04 5.846e-03 9.430e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-4  4.097e+02  [-60 9.330e-04 5.555e-03 9.514e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-5  4.160e+02  [-60 8.936e-04 5.321e-03 9.529e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-6  4.223e+02  [-61 8.569e-04 5.102e-03 9.517e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-7  4.286e+02  [-61 8.209e-04 4.888e-03 9.485e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-8  4.350e+02  [-62 7.843e-04 4.670e-03 9.428e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 7-9  4.414e+02  [-62 7.460e-04 4.442e-03 9.426e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 7-10  4.477e+02  [-62 7.086e-04 4.219e-03 9.481e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-1  4.541e+02  [0 1.000e+00 3.534e+00 2.494e-03]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-2  4.605e+02  [-46 4.630e-03 1.636e-02 5.123e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-3  4.668e+02  [-52 2.386e-03 8.433e-03 9.501e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-4  4.732e+02  [-52 2.277e-03 8.046e-03 9.553e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-5  4.795e+02  [-53 2.183e-03 7.715e-03 9.555e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 8-6  4.859e+02  [-53 2.094e-03 7.400e-03 9.553e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 8-7  4.922e+02  [-53 2.009e-03 7.098e-03 9.540e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-8  4.986e+02  [-54 1.924e-03 6.801e-03 9.543e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-9  5.050e+02  [-54 1.844e-03 6.516e-03 9.544e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 8-10  5.114e+02  [-55 1.766e-03 6.243e-03 9.583e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-1  5.177e+02  [0 1.000e+00 5.541e-01 1.004e-02]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-2  5.241e+02  [-39 1.115e-02 6.179e-03 8.746e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-3  5.306e+02  [-40 9.764e-03 5.411e-03 9.704e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-4  5.369e+02  [-40 9.486e-03 5.257e-03 9.717e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-5  5.432e+02  [-40 9.227e-03 5.113e-03 9.727e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-6  5.496e+02  [-40 8.985e-03 4.979e-03 9.734e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-7  5.560e+02  [-41 8.754e-03 4.851e-03 9.739e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-8  5.623e+02  [-41 8.534e-03 4.729e-03 9.738e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-9  5.687e+02  [-41 8.320e-03 4.610e-03 9.736e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 9-10  5.750e+02  [-41 8.109e-03 4.494e-03 9.740e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 10-1  5.814e+02  [0 1.000e+00 2.320e+00 5.806e-04]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 10-2  5.877e+02  [-51 2.745e-03 6.367e-03 2.035e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 10-3  5.941e+02  [-64 5.625e-04 1.305e-03 9.672e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 10-4  6.004e+02  [-65 5.448e-04 1.264e-03 9.729e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 10-5  6.068e+02  [-65 5.308e-04 1.231e-03 9.717e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 10-6  6.132e+02  [-65 5.165e-04 1.198e-03 9.718e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 10-7  6.197e+02  [-65 5.027e-04 1.166e-03 9.714e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 10-8  6.261e+02  [-66 4.891e-04 1.135e-03 9.703e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 10-9  6.325e+02  [-66 4.754e-04 1.103e-03 9.684e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 10-10  6.389e+02  [-66 4.613e-04 1.070e-03 9.615e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 11-1  6.453e+02  [0 1.000e+00 2.864e+00 9.657e-04]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 11-2  6.517e+02  [-49 3.291e-03 9.426e-03 2.815e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 11-3  6.580e+02  [-60 9.321e-04 2.669e-03 9.660e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 11-4  6.646e+02  [-60 9.025e-04 2.585e-03 9.698e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 11-5  6.714e+02  [-61 8.772e-04 2.512e-03 9.702e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 11-6  6.778e+02  [-61 8.530e-04 2.443e-03 9.702e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 11-7  6.843e+02  [-61 8.294e-04 2.375e-03 9.695e-01]  !510 0 77!  WARNING: The linear system solution has not converged
 NS 11-8  6.909e+02  [-61 8.060e-04 2.308e-03 9.688e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 11-9  6.973e+02  [-62 7.828e-04 2.242e-03 9.686e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 11-10  7.037e+02  [-62 7.601e-04 2.177e-03 9.677e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-1  7.101e+02  [0 1.000e+00 2.029e+00 2.316e-03]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-2  7.165e+02  [-47 4.115e-03 8.349e-03 5.376e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-3  7.228e+02  [-53 2.229e-03 4.523e-03 9.532e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-4  7.291e+02  [-53 2.136e-03 4.333e-03 9.564e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-5  7.355e+02  [-53 2.053e-03 4.166e-03 9.528e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-6  7.418e+02  [-54 1.968e-03 3.993e-03 9.498e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-7  7.482e+02  [-54 1.882e-03 3.818e-03 9.500e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-8  7.545e+02  [-54 1.799e-03 3.650e-03 9.509e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 12-9  7.609e+02  [-55 1.721e-03 3.492e-03 9.508e-01]  !510 0 78!  WARNING: The linear system solution has not converged
 NS 12-10  7.672e+02  [-55 1.647e-03 3.341e-03 9.506e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 13-1  7.736e+02  [0 1.000e+00 3.315e-01 9.088e-03]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 13-2  7.800e+02  [-37 1.362e-02 4.516e-03 6.481e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 13-3  7.863e+02  [-41 8.872e-03 2.941e-03 9.668e-01]  !510 0 79!  WARNING: The linear system solution has not converged
 NS 13-4  7.927e+02  [-41 8.609e-03 2.854e-03 9.688e-01]  !510 0 79!  WARNING: The linear system solution has not converged
