name,time,flow_in,flow_out,pressure_in,pressure_out
arterial_seg1,0.0000000000000000e+00,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.0101010101010166e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,2.0202020202020332e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,3.0303030303030498e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,4.0404040404040442e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,5.0505050505050608e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,6.0606060606060774e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,7.0707070707070718e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,8.0808080808080884e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,9.0909090909091050e-02,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.0101010101010099e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.1111111111111116e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.2121212121212133e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.3131313131313149e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.4141414141414144e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.5151515151515160e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
arterial_seg1,1.6161616161616177e-01,2.5000000000000001e-02,2.4999999999262404e-02,9.4754787261900347e+01,6.9779916013061325e+01
